,Strategy_Combination,Stock_Selection_Method,Weight_Allocation_Method,Total_Return,CAGR_4Y,CAGR_3Y,CAGR_2Y,CAGR_1Y,Positive_Return_Count,Negative_Return_Count,Sum_Positive_Return,Sum_Negative_Return,Variance_4Y,Variance_3Y,Variance_2Y,Variance_1Y,Success_Rate,Backtest_Version,Rebalance
0,13_8,13,8,10.69,0.81,0.68,0.56,1.24,12,4,3.74,-0.66,0.0815,0.0521,0.0714,0.0305,0.75,1,3m
1,4_10,4,10,4.42,0.45,0.28,0.24,0.89,32,16,2.97,-1.19,0.0499,0.0313,0.0475,0.0348,0.67,1,1m
2,6_9,6,9,5.46,0.53,0.61,0.66,1.61,12,4,2.9,-0.68,0.0619,0.0514,0.0714,0.0556,0.75,1,3m
3,8_6,8,6,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
4,8_10,8,10,4.42,0.45,0.28,0.24,0.89,32,16,2.97,-1.19,0.0499,0.0313,0.0475,0.0348,0.67,1,1m
5,8_11,8,11,6.25,0.58,0.42,0.34,1.05,32,16,3.22,-1.09,0.0588,0.0419,0.0629,0.058,0.67,1,1m
6,8_7,8,7,3.97,0.41,0.46,0.35,0.75,34,14,2.48,-0.92,0.0265,0.019,0.0242,0.0251,0.71,1,1m
7,6_8,6,8,4.53,0.46,0.55,0.65,1.42,12,4,2.61,-0.67,0.0515,0.0479,0.0667,0.058,0.75,1,3m
8,4_11,4,11,6.25,0.58,0.42,0.34,1.05,32,16,3.22,-1.09,0.0588,0.0419,0.0629,0.058,0.67,1,1m
9,13_9,13,9,7.61,0.66,0.58,0.58,1.18,11,5,3.2,-0.61,0.0643,0.0495,0.067,0.0324,0.69,1,3m
10,15_10,15,10,10.5,0.8,0.5,0.43,1.14,33,15,3.76,-1.01,0.0811,0.0296,0.039,0.0141,0.69,1,1m
11,11_9,11,9,6.25,0.58,0.36,0.25,1.17,31,17,3.38,-1.21,0.0616,0.0396,0.0446,0.0333,0.65,1,1m
12,8_5,8,5,6.34,0.59,0.33,0.33,1.07,30,18,3.32,-1.14,0.0634,0.0326,0.0487,0.0357,0.62,1,1m
13,4_8,4,8,6.39,0.59,0.47,0.28,1.07,31,17,3.22,-1.07,0.0456,0.0343,0.0334,0.0232,0.65,1,1m
14,4_9,4,9,5.21,0.51,0.26,0.24,1.12,29,19,3.24,-1.25,0.0587,0.0297,0.0411,0.0277,0.6,1,1m
15,8_4,8,4,6.74,0.61,0.43,0.35,1.07,31,17,3.26,-1.07,0.0521,0.033,0.046,0.0315,0.65,1,1m
16,11_8,11,8,6.15,0.57,0.43,0.31,1.05,31,17,3.15,-1.05,0.0386,0.024,0.0323,0.0271,0.65,1,1m
17,15_11,15,11,9.29,0.75,0.51,0.4,1.41,31,17,3.66,-1.06,0.0808,0.0409,0.0583,0.0278,0.65,1,1m
18,15_8,15,8,10.23,0.79,0.45,0.3,1.11,32,16,3.85,-1.12,0.0916,0.036,0.0483,0.0229,0.67,1,1m
19,15_9,15,9,13.26,0.91,0.47,0.39,1.1,33,15,4.13,-1.07,0.1108,0.0325,0.0388,0.0167,0.69,1,1m
20,8_1,8,1,4.68,0.47,0.44,0.25,0.67,35,13,2.39,-0.7,0.0253,0.0176,0.0196,0.0127,0.73,1,1m
21,2_8,2,8,4.34,0.44,0.48,0.62,1.36,12,4,2.5,-0.63,0.0487,0.0487,0.0687,0.0618,0.75,1,3m
22,8_3,8,3,6.78,0.61,0.35,0.34,1.03,30,18,3.57,-1.27,0.0887,0.0661,0.0762,0.0805,0.62,1,1m
23,6_10,6,10,4.0,0.41,0.44,0.69,1.86,10,6,2.76,-0.84,0.0695,0.0628,0.0811,0.0418,0.62,1,3m
24,6_11,6,11,4.32,0.44,0.46,0.57,1.47,10,6,2.76,-0.78,0.0662,0.0604,0.0857,0.0659,0.62,1,3m
25,8_2,8,2,3.77,0.39,0.2,0.2,0.79,29,19,3.06,-1.37,0.0862,0.0598,0.0885,0.0904,0.6,1,1m
26,2_9,2,9,5.67,0.54,0.56,0.64,1.55,11,5,2.84,-0.62,0.0576,0.0525,0.0733,0.061,0.69,1,3m
27,5_8,5,8,4.75,0.48,0.58,0.63,1.34,11,5,2.76,-0.73,0.0562,0.0531,0.0725,0.072,0.69,1,3m
28,9_5,9,5,5.36,0.52,0.54,0.66,1.63,12,4,3.07,-0.81,0.0711,0.0548,0.065,0.0443,0.75,1,3m
29,10_9,10,9,5.08,0.5,0.56,0.63,1.4,11,5,2.94,-0.8,0.0602,0.0492,0.0605,0.0511,0.69,1,3m
30,13_11,13,11,9.56,0.76,0.56,0.65,1.26,12,4,3.56,-0.63,0.0825,0.0401,0.0549,0.0213,0.75,1,3m
31,13_10,13,10,6.53,0.6,0.56,0.69,1.3,12,4,3.01,-0.62,0.0601,0.044,0.0584,0.0293,0.75,1,3m
32,10_8,10,8,5.11,0.5,0.56,0.59,1.19,11,5,2.81,-0.74,0.0496,0.0427,0.0578,0.052,0.69,1,3m
33,9_4,9,4,5.43,0.53,0.5,0.55,1.47,10,6,2.97,-0.76,0.0622,0.0474,0.065,0.0405,0.62,1,3m
34,5_9,5,9,5.12,0.5,0.57,0.67,1.6,10,6,2.89,-0.71,0.0668,0.0578,0.0737,0.0603,0.62,1,3m
35,7_9,7,9,6.25,0.58,0.36,0.25,1.17,31,17,3.38,-1.21,0.0616,0.0396,0.0446,0.0333,0.65,1,1m
36,9_6,9,6,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,1,3m
37,2_11,2,11,4.71,0.47,0.47,0.63,1.72,11,5,2.7,-0.67,0.0615,0.0576,0.0825,0.0467,0.69,1,3m
38,12_8,12,8,6.34,0.59,0.46,0.28,1.07,31,17,3.21,-1.07,0.0456,0.0342,0.0334,0.0232,0.65,1,1m
39,12_9,12,9,5.21,0.51,0.26,0.24,1.12,29,19,3.24,-1.25,0.0587,0.0297,0.0411,0.0277,0.6,1,1m
40,2_10,2,10,4.74,0.48,0.47,0.65,1.78,11,5,2.75,-0.7,0.0631,0.0597,0.0839,0.0475,0.69,1,3m
41,9_7,9,7,5.27,0.52,0.61,0.54,0.97,11,5,2.45,-0.46,0.0329,0.0265,0.0355,0.026,0.69,1,3m
42,7_8,7,8,5.55,0.53,0.38,0.31,1.05,30,18,3.1,-1.11,0.0379,0.0221,0.0322,0.0271,0.62,1,1m
43,9_3,9,3,6.08,0.57,0.54,0.74,1.75,12,4,3.32,-0.83,0.0921,0.073,0.0883,0.0713,0.75,1,3m
44,16_9,16,9,8.32,0.7,0.27,0.22,1.03,30,18,3.95,-1.34,0.1154,0.0342,0.0433,0.0169,0.62,1,1m
45,3_8,3,8,5.55,0.53,0.38,0.31,1.05,30,18,3.1,-1.11,0.0379,0.0221,0.0322,0.0271,0.62,1,1m
46,3_9,3,9,6.25,0.58,0.36,0.25,1.17,31,17,3.38,-1.21,0.0616,0.0396,0.0446,0.0333,0.65,1,1m
47,16_8,16,8,10.32,0.79,0.48,0.3,1.05,33,15,3.78,-1.06,0.0867,0.0331,0.0416,0.0195,0.69,1,1m
48,9_2,9,2,6.97,0.62,0.61,0.72,1.79,11,5,3.32,-0.74,0.0761,0.0633,0.0786,0.05,0.69,1,3m
49,11_11,11,11,6.76,0.61,0.49,0.35,1.11,33,15,3.23,-1.02,0.0612,0.0517,0.0732,0.066,0.69,1,1m
50,14_8,14,8,6.6,0.6,0.53,0.58,1.37,12,4,2.97,-0.6,0.0542,0.0405,0.0581,0.0271,0.75,1,3m
51,1_9,1,9,5.08,0.5,0.5,0.64,1.54,9,7,2.78,-0.66,0.0615,0.0574,0.0761,0.0663,0.56,1,3m
52,1_8,1,8,4.59,0.46,0.51,0.64,1.42,11,5,2.59,-0.64,0.0517,0.0526,0.0731,0.0665,0.69,1,3m
53,9_1,9,1,4.21,0.43,0.5,0.45,0.95,11,5,2.22,-0.48,0.0313,0.0247,0.0326,0.0218,0.69,1,3m
